series,label,step,train_loss
distilled,Distilled,1,1.581200
distilled,Distilled,2,1.601664
distilled,Distilled,3,1.397707
distilled,Distilled,4,1.268180
distilled,Distilled,5,1.146037
distilled,Distilled,6,1.177780
distilled,Distilled,7,1.017074
distilled,Distilled,8,0.944001
distilled,Distilled,9,0.912953
distilled,Distilled,10,0.916649
distilled,Distilled,11,0.873767
distilled,Distilled,12,0.828691
distilled,Distilled,13,0.820926
distilled,Distilled,14,0.774902
distilled,Distilled,15,0.774372
distilled,Distilled,16,0.719163
distilled,Distilled,17,0.665105
distilled,Distilled,18,0.726091
distilled,Distilled,19,0.746031
distilled,Distilled,20,0.676825
distilled,Distilled,21,0.770962
distilled,Distilled,22,0.678539
distilled,Distilled,23,0.692368
distilled,Distilled,24,0.684136
distilled,Distilled,25,0.673180
distilled,Distilled,26,0.683540
distilled,Distilled,27,0.731563
distilled,Distilled,28,0.684688
distilled,Distilled,29,0.667034
distilled,Distilled,30,0.626015
distilled,Distilled,31,0.656193
distilled,Distilled,32,0.655092
distilled,Distilled,33,0.491485
distilled,Distilled,34,0.542195
distilled,Distilled,35,0.520902
distilled,Distilled,36,0.540048
distilled,Distilled,37,0.507872
distilled,Distilled,38,0.532482
distilled,Distilled,39,0.491526
distilled,Distilled,40,0.483341
distilled,Distilled,41,0.497358
distilled,Distilled,42,0.546030
distilled,Distilled,43,0.487186
distilled,Distilled,44,0.502935
distilled,Distilled,45,0.501207
distilled,Distilled,46,0.483063
distilled,Distilled,47,0.494021
distilled,Distilled,48,0.496796
distilled,Distilled,49,0.488950
distilled,Distilled,50,0.457422
distilled,Distilled,51,0.476486
distilled,Distilled,52,0.488831
distilled,Distilled,53,0.551983
distilled,Distilled,54,0.477318
distilled,Distilled,55,0.466527
distilled,Distilled,56,0.514169
distilled,Distilled,57,0.459587
distilled,Distilled,58,0.470655
distilled,Distilled,59,0.472183
distilled,Distilled,60,0.491847
distilled,Distilled,61,0.459893
distilled,Distilled,62,0.454282
distilled,Distilled,63,0.465913
distilled,Distilled,64,0.476685
distilled,Distilled,65,0.323582
distilled,Distilled,66,0.329029
distilled,Distilled,67,0.338686
distilled,Distilled,68,0.315345
distilled,Distilled,69,0.348522
distilled,Distilled,70,0.323808
distilled,Distilled,71,0.303346
distilled,Distilled,72,0.311537
distilled,Distilled,73,0.313604
distilled,Distilled,74,0.302793
distilled,Distilled,75,0.319965
distilled,Distilled,76,0.307342
distilled,Distilled,77,0.294949
distilled,Distilled,78,0.307811
distilled,Distilled,79,0.337468
distilled,Distilled,80,0.298695
distilled,Distilled,81,0.301867
distilled,Distilled,82,0.310036
distilled,Distilled,83,0.295590
distilled,Distilled,84,0.297664
distilled,Distilled,85,0.307959
distilled,Distilled,86,0.298000
distilled,Distilled,87,0.290601
distilled,Distilled,88,0.300066
distilled,Distilled,89,0.309995
distilled,Distilled,90,0.290963
distilled,Distilled,91,0.292762
distilled,Distilled,92,0.319874
distilled,Distilled,93,0.308421
distilled,Distilled,94,0.312586
distilled,Distilled,95,0.323070
distilled,Distilled,96,0.293017
distilled,Distilled,97,0.191635
distilled,Distilled,98,0.197291
distilled,Distilled,99,0.187560
distilled,Distilled,100,0.182904
distilled,Distilled,101,0.183295
distilled,Distilled,102,0.190490
distilled,Distilled,103,0.170219
distilled,Distilled,104,0.179678
distilled,Distilled,105,0.173322
distilled,Distilled,106,0.171284
distilled,Distilled,107,0.162442
distilled,Distilled,108,0.183448
distilled,Distilled,109,0.158304
distilled,Distilled,110,0.184345
distilled,Distilled,111,0.168725
distilled,Distilled,112,0.173362
distilled,Distilled,113,0.152016
distilled,Distilled,114,0.168604
distilled,Distilled,115,0.154815
distilled,Distilled,116,0.157873
distilled,Distilled,117,0.173478
distilled,Distilled,118,0.174124
distilled,Distilled,119,0.155922
distilled,Distilled,120,0.161522
distilled,Distilled,121,0.185240
distilled,Distilled,122,0.155120
distilled,Distilled,123,0.170318
distilled,Distilled,124,0.160527
distilled,Distilled,125,0.162045
distilled,Distilled,126,0.166620
distilled,Distilled,127,0.170292
distilled,Distilled,128,0.167303
distilled,Distilled,129,0.109174
distilled,Distilled,130,0.100594
distilled,Distilled,131,0.105109
distilled,Distilled,132,0.096130
distilled,Distilled,133,0.099942
distilled,Distilled,134,0.106415
distilled,Distilled,135,0.103729
distilled,Distilled,136,0.097602
distilled,Distilled,137,0.097450
distilled,Distilled,138,0.090408
distilled,Distilled,139,0.101415
distilled,Distilled,140,0.092993
distilled,Distilled,141,0.107856
distilled,Distilled,142,0.094210
distilled,Distilled,143,0.103474
distilled,Distilled,144,0.095703
distilled,Distilled,145,0.102264
distilled,Distilled,146,0.094035
distilled,Distilled,147,0.088193
distilled,Distilled,148,0.091254
distilled,Distilled,149,0.083979
distilled,Distilled,150,0.089622
distilled,Distilled,151,0.094966
distilled,Distilled,152,0.094299
distilled,Distilled,153,0.100709
distilled,Distilled,154,0.095275
distilled,Distilled,155,0.096729
distilled,Distilled,156,0.103280
distilled,Distilled,157,0.093395
distilled,Distilled,158,0.100455
distilled,Distilled,159,0.093487
distilled,Distilled,160,0.100860
