series,label,step,train_loss
capped,"Baseline (capped, gold)",1,1.547865
capped,"Baseline (capped, gold)",2,2.324613
capped,"Baseline (capped, gold)",3,2.212125
capped,"Baseline (capped, gold)",4,1.837569
capped,"Baseline (capped, gold)",5,1.540330
capped,"Baseline (capped, gold)",6,1.337281
capped,"Baseline (capped, gold)",7,1.162781
capped,"Baseline (capped, gold)",8,1.014922
capped,"Baseline (capped, gold)",9,0.941196
capped,"Baseline (capped, gold)",10,0.929179
capped,"Baseline (capped, gold)",11,0.877137
capped,"Baseline (capped, gold)",12,0.800772
capped,"Baseline (capped, gold)",13,0.798165
capped,"Baseline (capped, gold)",14,0.802870
capped,"Baseline (capped, gold)",15,0.738591
capped,"Baseline (capped, gold)",16,0.770920
capped,"Baseline (capped, gold)",17,0.789162
capped,"Baseline (capped, gold)",18,0.726366
capped,"Baseline (capped, gold)",19,0.712398
capped,"Baseline (capped, gold)",20,0.665824
capped,"Baseline (capped, gold)",21,0.667382
capped,"Baseline (capped, gold)",22,0.690877
capped,"Baseline (capped, gold)",23,0.653371
capped,"Baseline (capped, gold)",24,0.663746
capped,"Baseline (capped, gold)",25,0.648836
capped,"Baseline (capped, gold)",26,0.672534
capped,"Baseline (capped, gold)",27,0.675280
capped,"Baseline (capped, gold)",28,0.668766
capped,"Baseline (capped, gold)",29,0.655756
capped,"Baseline (capped, gold)",30,0.592595
capped,"Baseline (capped, gold)",31,0.615388
capped,"Baseline (capped, gold)",32,0.633249
capped,"Baseline (capped, gold)",33,0.621251
capped,"Baseline (capped, gold)",34,0.608861
capped,"Baseline (capped, gold)",35,0.587130
capped,"Baseline (capped, gold)",36,0.613645
capped,"Baseline (capped, gold)",37,0.645260
capped,"Baseline (capped, gold)",38,0.567594
capped,"Baseline (capped, gold)",39,0.439293
capped,"Baseline (capped, gold)",40,0.384305
capped,"Baseline (capped, gold)",41,0.416340
capped,"Baseline (capped, gold)",42,0.377950
capped,"Baseline (capped, gold)",43,0.377355
capped,"Baseline (capped, gold)",44,0.417941
capped,"Baseline (capped, gold)",45,0.412791
capped,"Baseline (capped, gold)",46,0.390666
capped,"Baseline (capped, gold)",47,0.400809
capped,"Baseline (capped, gold)",48,0.389045
capped,"Baseline (capped, gold)",49,0.418793
capped,"Baseline (capped, gold)",50,0.411428
capped,"Baseline (capped, gold)",51,0.379922
capped,"Baseline (capped, gold)",52,0.390072
capped,"Baseline (capped, gold)",53,0.393382
capped,"Baseline (capped, gold)",54,0.378030
capped,"Baseline (capped, gold)",55,0.369580
capped,"Baseline (capped, gold)",56,0.351143
capped,"Baseline (capped, gold)",57,0.393185
capped,"Baseline (capped, gold)",58,0.375116
capped,"Baseline (capped, gold)",59,0.393106
capped,"Baseline (capped, gold)",60,0.358861
capped,"Baseline (capped, gold)",61,0.358748
capped,"Baseline (capped, gold)",62,0.385550
capped,"Baseline (capped, gold)",63,0.389495
capped,"Baseline (capped, gold)",64,0.380689
capped,"Baseline (capped, gold)",65,0.378341
capped,"Baseline (capped, gold)",66,0.361806
capped,"Baseline (capped, gold)",67,0.370119
capped,"Baseline (capped, gold)",68,0.368587
capped,"Baseline (capped, gold)",69,0.359176
capped,"Baseline (capped, gold)",70,0.375712
capped,"Baseline (capped, gold)",71,0.362489
capped,"Baseline (capped, gold)",72,0.349290
capped,"Baseline (capped, gold)",73,0.380561
capped,"Baseline (capped, gold)",74,0.377486
capped,"Baseline (capped, gold)",75,0.394937
capped,"Baseline (capped, gold)",76,0.341419
capped,"Baseline (capped, gold)",77,0.201038
capped,"Baseline (capped, gold)",78,0.195651
capped,"Baseline (capped, gold)",79,0.199923
capped,"Baseline (capped, gold)",80,0.183211
capped,"Baseline (capped, gold)",81,0.201649
capped,"Baseline (capped, gold)",82,0.172105
capped,"Baseline (capped, gold)",83,0.171993
capped,"Baseline (capped, gold)",84,0.180903
capped,"Baseline (capped, gold)",85,0.175389
capped,"Baseline (capped, gold)",86,0.201203
capped,"Baseline (capped, gold)",87,0.179779
capped,"Baseline (capped, gold)",88,0.173456
capped,"Baseline (capped, gold)",89,0.182953
capped,"Baseline (capped, gold)",90,0.187714
capped,"Baseline (capped, gold)",91,0.167163
capped,"Baseline (capped, gold)",92,0.184631
capped,"Baseline (capped, gold)",93,0.185821
capped,"Baseline (capped, gold)",94,0.196237
capped,"Baseline (capped, gold)",95,0.177832
