series,label,step,train_loss
ours,LoCoLib distilled (ours),1,1.581200
ours,LoCoLib distilled (ours),2,1.601664
ours,LoCoLib distilled (ours),3,1.397707
ours,LoCoLib distilled (ours),4,1.268180
ours,LoCoLib distilled (ours),5,1.146037
ours,LoCoLib distilled (ours),6,1.177780
ours,LoCoLib distilled (ours),7,1.017074
ours,LoCoLib distilled (ours),8,0.944001
ours,LoCoLib distilled (ours),9,0.912953
ours,LoCoLib distilled (ours),10,0.916649
ours,LoCoLib distilled (ours),11,0.873767
ours,LoCoLib distilled (ours),12,0.828691
ours,LoCoLib distilled (ours),13,0.820926
ours,LoCoLib distilled (ours),14,0.774902
ours,LoCoLib distilled (ours),15,0.774372
ours,LoCoLib distilled (ours),16,0.719163
ours,LoCoLib distilled (ours),17,0.665105
ours,LoCoLib distilled (ours),18,0.726091
ours,LoCoLib distilled (ours),19,0.746031
ours,LoCoLib distilled (ours),20,0.676825
ours,LoCoLib distilled (ours),21,0.770962
ours,LoCoLib distilled (ours),22,0.678539
ours,LoCoLib distilled (ours),23,0.692368
ours,LoCoLib distilled (ours),24,0.684136
ours,LoCoLib distilled (ours),25,0.673180
ours,LoCoLib distilled (ours),26,0.683540
ours,LoCoLib distilled (ours),27,0.731563
ours,LoCoLib distilled (ours),28,0.684688
ours,LoCoLib distilled (ours),29,0.667034
ours,LoCoLib distilled (ours),30,0.626015
ours,LoCoLib distilled (ours),31,0.656193
ours,LoCoLib distilled (ours),32,0.655092
ours,LoCoLib distilled (ours),33,0.491485
ours,LoCoLib distilled (ours),34,0.542195
ours,LoCoLib distilled (ours),35,0.520902
ours,LoCoLib distilled (ours),36,0.540048
ours,LoCoLib distilled (ours),37,0.507872
ours,LoCoLib distilled (ours),38,0.532482
ours,LoCoLib distilled (ours),39,0.491526
ours,LoCoLib distilled (ours),40,0.483341
ours,LoCoLib distilled (ours),41,0.497358
ours,LoCoLib distilled (ours),42,0.546030
ours,LoCoLib distilled (ours),43,0.487186
ours,LoCoLib distilled (ours),44,0.502935
ours,LoCoLib distilled (ours),45,0.501207
ours,LoCoLib distilled (ours),46,0.483063
ours,LoCoLib distilled (ours),47,0.494021
ours,LoCoLib distilled (ours),48,0.496796
ours,LoCoLib distilled (ours),49,0.488950
ours,LoCoLib distilled (ours),50,0.457422
ours,LoCoLib distilled (ours),51,0.476486
ours,LoCoLib distilled (ours),52,0.488831
ours,LoCoLib distilled (ours),53,0.551983
ours,LoCoLib distilled (ours),54,0.477318
ours,LoCoLib distilled (ours),55,0.466527
ours,LoCoLib distilled (ours),56,0.514169
ours,LoCoLib distilled (ours),57,0.459587
ours,LoCoLib distilled (ours),58,0.470655
ours,LoCoLib distilled (ours),59,0.472183
ours,LoCoLib distilled (ours),60,0.491847
ours,LoCoLib distilled (ours),61,0.459893
ours,LoCoLib distilled (ours),62,0.454282
ours,LoCoLib distilled (ours),63,0.465913
ours,LoCoLib distilled (ours),64,0.476685
ours,LoCoLib distilled (ours),65,0.323582
ours,LoCoLib distilled (ours),66,0.329029
ours,LoCoLib distilled (ours),67,0.338686
ours,LoCoLib distilled (ours),68,0.315345
ours,LoCoLib distilled (ours),69,0.348522
ours,LoCoLib distilled (ours),70,0.323808
ours,LoCoLib distilled (ours),71,0.303346
ours,LoCoLib distilled (ours),72,0.311537
ours,LoCoLib distilled (ours),73,0.313604
ours,LoCoLib distilled (ours),74,0.302793
ours,LoCoLib distilled (ours),75,0.319965
ours,LoCoLib distilled (ours),76,0.307342
